Movie,Rating
The Shawshank Redemption,9.3
The Godfather,9.2
The Dark Knight,9.1
The Godfather Part II,9.0
12 Angry Men,9.0
The Lord of the Rings: The Return of the King,9.0
Schindler&apos;s List,9.0
The Lord of the Rings: The Fellowship of the Ring,8.9
Pulp Fiction,8.8
"Il buono, il brutto, il cattivo",8.8
The Lord of the Rings: The Two Towers,8.8
Forrest Gump,8.8
Fight Club,8.8
Inception,8.8
Star Wars: Episode V - The Empire Strikes Back,8.7
The Matrix,8.7
GoodFellas,8.7
Interstellar,8.7
One Flew Over the Cuckoo&apos;s Nest,8.6
Se7en,8.6
It&apos;s a Wonderful Life,8.6
The Silence of the Lambs,8.6
Saving Private Ryan,8.6
Shichinin no samurai,8.6
The Green Mile,8.6
Cidade de Deus,8.6
La vita è bella,8.6
Terminator 2: Judgment Day,8.6
Back to the Future,8.5
Star Wars,8.6
Kill Bill: The Whole Bloody Affair,8.7
Sen to Chihiro no kamikakushi,8.6
Gladiator,8.5
The Pianist,8.5
Gisaengchung,8.5
Hotaru no haka,8.5
Psycho,8.5
The Lion King,8.5
Seppuku,8.6
The Departed,8.5
Whiplash,8.5
The Prestige,8.5
American History X,8.5
Léon,8.5
Spider-Man: Across the Spider-Verse,8.5
Nuovo Cinema Paradiso,8.5
Casablanca,8.5
Intouchables,8.5
The Usual Suspects,8.5
Django Unchained,8.5
Alien,8.5
Rear Window,8.4
Modern Times,8.5
C&apos;era una volta il West,8.5
City Lights,8.5
Apocalypse Now,8.4
WALL·E,8.4
Memento,8.4
Dune: Part Two,8.4
Avengers: Infinity War,8.4
Raiders of the Lost Ark,8.4
Das Leben der Anderen,8.4
Spider-Man: Into the Spider-Verse,8.4
Sunset Blvd.,8.4
Witness for the Prosecution,8.4
Paths of Glory,8.4
The Shining,8.4
The Great Dictator,8.4
Inglourious Basterds,8.4
Aliens,8.4
12th Fail,8.7
Tengoku to jigoku,8.4
Avengers: Endgame,8.4
Good Will Hunting,8.4
The Dark Knight Rises,8.4
Coco,8.4
Amadeus,8.4
Toy Story,8.3
Kimi no na wa.,8.4
Das Boot,8.3
Braveheart,8.3
Mononoke-hime,8.3
Oldeuboi,8.3
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.3
3 Idiots,8.4
American Beauty,8.3
Capharnaüm,8.4
Singin&apos; in the Rain,8.3
Joker,8.3
C&apos;era una volta in America,8.3
Star Wars: Episode VI - Return of the Jedi,8.3
Idi i smotri,8.3
Toy Story 3,8.3
Requiem for a Dream,8.3
Ikiru,8.3
Jagten,8.3
Incendies,8.3
Eternal Sunshine of the Spotless Mind,8.3
The Apartment,8.3
Lawrence of Arabia,8.3
Heat,8.3
Scarface,8.3
Reservoir Dogs,8.3
2001: A Space Odyssey,8.3
Up,8.3
Double Indemnity,8.3
North by Northwest,8.3
Taare Zameen Par,8.3
Full Metal Jacket,8.2
M - Eine Stadt sucht einen Mörder,8.3
Le fabuleux destin d&apos;Amélie Poulain,8.3
Jodaeiye Nader az Simin,8.3
Citizen Kane,8.2
Vertigo,8.2
Die Hard,8.2
To Kill a Mockingbird,8.2
Indiana Jones and the Last Crusade,8.2
The Sting,8.2
A Clockwork Orange,8.2
I Swear,8.4
Metropolis,8.2
1917,8.2
Snatch,8.2
The Wolf of Wall Street,8.2
Der Untergang,8.2
The Truman Show,8.2
L.A. Confidential,8.2
Dangal,8.3
Shutter Island,8.2
Ladri di biciclette,8.2
Green Book,8.2
Project Hail Mary,8.3
Oppenheimer,8.2
Judgment at Nuremberg,8.3
Batman Begins,8.2
Jurassic Park,8.2
Hamilton,8.3
Per qualche dollaro in più,8.2
Shingeki no Kyojin: The Last Attack,9.0
Taxi Driver,8.2
Some Like It Hot,8.2
There Will Be Blood,8.2
The Father,8.2
The Kid,8.2
All About Eve,8.2
The Sixth Sense,8.2
Ran,8.2
Casino,8.2
No Country for Old Men,8.2
The Thing,8.2
Prisoners,8.2
Top Gun: Maverick,8.2
Kill Bill: Vol. 1,8.2
El laberinto del fauno,8.2
Unforgiven,8.2
A Beautiful Mind,8.2
Hauru no ugoku shiro,8.2
The Treasure of the Sierra Madre,8.2
Finding Nemo,8.2
Klaus,8.2
Yôjinbô,8.2
The Elephant Man,8.2
The Great Escape,8.2
Monty Python and the Holy Grail,8.1
Gekijô-ban Kimetsu no Yaiba Mugen Jô-hen,8.4
Dial M for Murder,8.1
El secreto de sus ojos,8.2
Gone with the Wind,8.2
"Lock, Stock and Two Smoking Barrels",8.1
Chinatown,8.1
La meglio gioventù,8.4
V for Vendetta,8.1
Catch Me If You Can,8.1
Inside Out,8.1
Trainspotting,8.1
"Three Billboards Outside Ebbing, Missouri",8.1
Rashômon,8.1
Dead Poets Society,8.1
The Bridge on the River Kwai,8.1
Harry Potter and the Deathly Hallows: Part 2,8.1
The Wild Robot,8.2
Barry Lyndon,8.1
Ben-Hur,8.1
Warrior,8.1
Fargo,8.1
Million Dollar Baby,8.1
Mad Max: Fury Road,8.1
Hacksaw Ridge,8.1
Bacheha-ye aseman,8.2
Raging Bull,8.1
Tonari no Totoro,8.1
Gran Torino,8.1
Ratatouille,8.1
12 Years a Slave,8.1
The Grand Budapest Hotel,8.1
